N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
4,45,1,89.9,1.2,6.78,0.810890601,0.299728955,115.2505824
4,45,1.2,89.9,0.4,6.78,0.929272373,0.354116777,111.7908054
4,45,1.2,89.9,0.6,6.78,0.880732056,0.311657439,120.3859678
4,45,1.2,89.9,0.8,6.78,0.83615677,0.296634172,120.0814969
4,45,1.2,89.9,1,6.78,0.794081886,0.281916831,119.9924294
4,45,1.2,89.9,1.2,6.78,0.755642454,0.269570602,119.4134878
4,45,1.4,89.9,0.4,6.78,0.864348893,0.314719229,116.9971719
4,45,1.4,89.9,0.6,6.78,0.81557995,0.307307448,113.0584474
4,45,1.4,89.9,0.8,6.78,0.777646965,0.270897269,122.2890068
4,45,1.4,89.9,1,6.78,0.738777202,0.257934864,122.014937
4,45,1.4,89.9,1.2,6.78,0.701525083,0.24301673,122.9749327
4,45,1.6,89.9,0.4,6.78,0.797690619,0.309240866,109.8872148
4,45,1.6,89.9,0.6,6.78,0.757855705,0.277595551,116.3010364
4,45,1.6,89.9,0.8,6.78,0.722474515,0.253586473,121.3685074
4,45,1.6,89.9,1,6.78,0.690003254,0.228537006,128.6187154
4,45,1.6,89.9,1.2,6.78,0.654826941,0.222533608,125.3546622
4,45,1.8,89.9,0.4,6.78,0.743710944,0.286597365,110.5456205
4,45,1.8,89.9,0.6,6.78,0.707279466,0.247135878,121.9171533
4,45,1.8,89.9,0.8,6.78,0.669787267,0.222290169,128.358961
4,45,1.8,89.9,1,6.78,0.638012,0.226855155,119.8090864
4,45,1.8,89.9,1.2,6.78,0.605046342,0.215327299,119.7013666
4,50,0.8,9.9,0.4,6.78,1.544047748,0.618269689,106.3879237
4,50,0.8,9.9,0.6,6.78,1.453397339,0.582830041,106.2311771
4,50,0.8,9.9,0.8,6.78,1.378537079,0.527123125,111.4078891
4,50,0.8,9.9,1,6.78,1.311657209,0.484263613,115.3846601
4,50,0.8,9.9,1.2,6.78,1.247404375,0.469225591,113.2491979
4,50,1,9.9,0.4,6.78,1.431238252,0.566640469,107.6004058
4,50,1,9.9,0.6,6.78,1.352880515,0.495323269,116.3537202
4,50,1,9.9,0.8,6.78,1.282655243,0.476828457,114.5928014
4,50,1,9.9,1,6.78,1.222245307,0.426376503,122.1165924
4,50,1,9.9,1.2,6.78,1.16143407,0.423834265,116.7368741
4,50,1.2,9.9,0.4,6.78,1.331047268,0.488313492,116.1192754
4,50,1.2,9.9,0.6,6.78,1.260902244,0.444299311,120.8969486
4,50,1.2,9.9,0.8,6.78,1.197308384,0.416013035,122.6051315
4,50,1.2,9.9,1,6.78,1.141255006,0.380480401,127.7791417
4,50,1.2,9.9,1.2,6.78,1.08808522,0.362487494,127.8731743
4,50,1.4,9.9,0.4,6.78,1.240122065,0.445112386,118.6873185
4,50,1.4,9.9,0.6,6.78,1.176451991,0.394490686,127.0419108
4,50,1.4,9.9,0.8,6.78,1.117440863,0.377426819,126.1250509
4,50,1.4,9.9,1,6.78,1.066090337,0.346061284,131.2352653
4,50,1.4,9.9,1.2,6.78,1.01729364,0.325163917,133.2764896
4,50,1.6,9.9,0.4,6.78,1.154959013,0.411402456,119.5939623
4,50,1.6,9.9,0.6,6.78,1.093670516,0.385493301,120.8590651
4,50,1.6,9.9,0.8,6.78,1.045802655,0.335654631,132.7292557
4,50,1.6,9.9,1,6.78,0.996747616,0.315975579,134.3820461
4,50,1.6,9.9,1.2,6.78,0.950543867,0.302960497,133.6582352
4,50,1.8,9.9,0.4,6.78,1.077110534,0.382940548,119.8225286
4,50,1.8,9.9,0.6,6.78,1.024490382,0.367220923,118.8474943
4,50,1.8,9.9,0.8,6.78,0.976652205,0.313170584,132.8521341
4,50,1.8,9.9,1,6.78,0.931543351,0.295885604,134.118534
4,50,1.8,9.9,1.2,6.78,0.890586545,0.274586992,138.1674467
4,50,0.8,29.9,0.4,6.78,1.476665082,0.578545224,108.7312185
4,50,0.8,29.9,0.6,6.78,1.395878301,0.510554409,116.4702714
4,50,0.8,29.9,0.8,6.78,1.322557231,0.48202946,116.8827592
4,50,0.8,29.9,1,6.78,1.258777835,0.44633826,120.1419103
4,50,0.8,29.9,1.2,6.78,1.198983929,0.426807923,119.6714221
4,50,1,29.9,0.4,6.78,1.372268676,0.500591004,116.7792474
4,50,1,29.9,0.6,6.78,1.299396484,0.447420734,123.7186417
4,50,1,29.9,0.8,6.78,1.230869781,0.436128874,120.2283348
4,50,1,29.9,1,6.78,1.173070984,0.39872356,125.3319962
4,50,1,29.9,1.2,6.78,1.118958536,0.378284406,126.0100305
4,50,1.2,29.9,0.4,6.78,1.277584281,0.439779654,123.7553518
4,50,1.2,29.9,0.6,6.78,1.210845276,0.403997676,127.678963
4,50,1.2,29.9,0.8,6.78,1.150698984,0.378945165,129.3584853
4,50,1.2,29.9,1,6.78,1.093721912,0.361455707,128.9025145
4,50,1.2,29.9,1.2,6.78,1.04609103,0.33851012,131.6459138
4,50,1.4,29.9,0.4,6.78,1.189008676,0.418542142,121.0195108
4,50,1.4,29.9,0.6,6.78,1.128864426,0.379332051,126.774472
4,50,1.4,29.9,0.8,6.78,1.076356638,0.337446465,135.881669
4,50,1.4,29.9,1,6.78,1.026617829,0.315185838,138.755967
4,50,1.4,29.9,1.2,6.78,0.978719736,0.30694417,135.8340091
4,50,1.6,29.9,0.4,6.78,1.10992517,0.378014313,125.0820581
4,50,1.6,29.9,0.6,6.78,1.054281979,0.344771803,130.2670581
4,50,1.6,29.9,0.8,6.78,1.002481253,0.328835208,129.8696025
4,50,1.6,29.9,1,6.78,0.960082787,0.294917874,138.6810594
4,50,1.6,29.9,1.2,6.78,0.915540866,0.283614445,137.5178106
4,50,1.8,29.9,0.4,6.78,1.034834182,0.359843547,122.508609
4,50,1.8,29.9,0.6,6.78,0.98473644,0.325792809,128.7621079
4,50,1.8,29.9,0.8,6.78,0.941385247,0.291015907,137.8034916
4,50,1.8,29.9,1,6.78,0.896912777,0.277586744,137.6451935
4,50,1.8,29.9,1.2,6.78,0.853792344,0.271100998,134.1623638
4,50,0.8,49.9,0.4,6.78,1.411292976,0.53177581,113.0571842
4,50,0.8,49.9,0.6,6.78,1.3318259,0.488768312,116.0790851
4,50,0.8,49.9,0.8,6.78,1.263446342,0.465835517,115.5403733
4,50,0.8,49.9,1,6.78,1.202757333,0.452260366,113.2919482
4,50,0.8,49.9,1.2,6.78,1.145916708,0.409486205,119.2129234
4,50,1,49.9,0.4,6.78,1.311991808,0.459615253,121.6035498
4,50,1,49.9,0.6,6.78,1.242391619,0.417039892,126.9084312
4,50,1,49.9,0.8,6.78,1.180175216,0.393853831,127.6500469
4,50,1,49.9,1,6.78,1.124265119,0.367587451,130.2919615
4,50,1,49.9,1.2,6.78,1.072092772,0.353661019,129.1382022
4,50,1.2,49.9,0.4,6.78,1.219805531,0.429221545,121.0650113
