N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
3,35,0.8,9.9,1,6.78,0.470507799,0.252622552,79.34220597
3,35,0.8,9.9,1.2,6.78,0.457097113,0.226979048,85.78913129
3,35,1,9.9,0.4,6.78,0.507388718,0.257049762,84.08783339
3,35,1,9.9,0.6,6.78,0.485820521,0.233573364,88.6057899
3,35,1,9.9,0.8,6.78,0.461782986,0.231127983,85.11281616
3,35,1,9.9,1,6.78,0.440541617,0.213431308,87.93026396
3,35,1,9.9,1.2,6.78,0.430748317,0.198091092,92.63352802
3,35,1.2,9.9,0.4,6.78,0.47295744,0.223504137,90.14591651
3,35,1.2,9.9,0.6,6.78,0.449178178,0.2202912,86.86224733
3,35,1.2,9.9,0.8,6.78,0.432550207,0.190048685,96.95745738
3,35,1.2,9.9,1,6.78,0.419398395,0.177017488,100.9299723
3,35,1.2,9.9,1.2,6.78,0.396672225,0.178058353,94.90279501
3,35,1.4,9.9,0.4,6.78,0.436959266,0.200421001,92.87680974
3,35,1.4,9.9,0.6,6.78,0.420107715,0.185999538,96.21844949
3,35,1.4,9.9,0.8,6.78,0.405350056,0.165294177,104.4677511
3,35,1.4,9.9,1,6.78,0.386425932,0.164957626,99.79376941
3,35,1.4,9.9,1.2,6.78,0.367819701,0.16572125,94.55104821
3,35,1.6,9.9,0.4,6.78,0.40310429,0.203474899,84.39488818
3,35,1.6,9.9,0.6,6.78,0.388739801,0.16563775,99.9791057
3,35,1.6,9.9,0.8,6.78,0.37051282,0.174556694,90.42245494
3,35,1.6,9.9,1,6.78,0.359407641,0.152387983,100.4722544
3,35,1.6,9.9,1.2,6.78,0.345190979,0.146214064,100.5726399
3,35,1.8,9.9,0.4,6.78,0.38188805,0.156247578,104.1195633
3,35,1.8,9.9,0.6,6.78,0.35738899,0.168480435,90.36520873
3,35,1.8,9.9,0.8,6.78,0.344062322,0.164013112,89.36513363
3,35,1.8,9.9,1,6.78,0.328934418,0.158507489,88.40342553
3,35,1.8,9.9,1.2,6.78,0.318590564,0.139049699,97.60507931
3,35,0.8,29.9,0.4,6.78,0.526520915,0.259646891,86.38574099
3,35,0.8,29.9,0.6,6.78,0.377927659,0.325634445,49.44107464
3,35,0.8,29.9,0.8,6.78,0.482599535,0.221537288,92.80035273
