N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],"im(Z(1,1))/(2*pi*Freq)*1e6 []","re(Z(1,1)) []","im(Z(1,1))/re(Z(1,1)) []"
7,80,0.8,69.9,0.4,6.78,10.87482342,10.20534817,45.39457454
7,80,0.8,69.9,0.6,6.78,8.91002822,6.139932623,61.8194357
7,80,0.8,69.9,0.8,6.78,7.449796838,3.971630469,79.90706105
7,80,0.8,69.9,1,6.78,6.699038578,3.080236032,92.64842573
7,80,1,69.9,0.4,6.78,9.830892857,8.611217663,48.63377243
7,80,1,69.9,0.6,6.78,8.001783121,5.0355782,67.6935038
7,80,1,69.9,0.8,6.78,6.874570662,3.414597323,85.76609704
7,80,1,69.9,1,6.78,6.139338531,2.59878233,100.6378242
7,80,0.4,89.9,0.4,6.78,13.72926657,20.1084871,29.08556488
7,80,0.4,89.9,0.6,6.78,11.35241896,14.6834614,32.93589932
7,80,0.4,89.9,0.8,6.78,9.29372909,8.834519364,44.81430277
7,80,0.4,89.9,1,6.78,7.518156565,4.767538621,67.17794399
7,80,0.6,89.9,0.4,6.78,10.08231596,8.622917664,49.80989498
7,80,0.6,89.9,0.6,6.78,8.95958963,6.627536669,57.58979616
7,80,0.6,89.9,0.8,6.78,8.041015082,5.217114176,65.65837009
7,80,0.6,89.9,1,6.78,6.969199335,3.657545967,81.17132884
7,80,0.8,89.9,0.4,6.78,10.12123539,9.435482089,45.69608495
7,80,0.8,89.9,0.6,6.78,8.156451355,5.224939107,66.50121486
7,80,0.8,89.9,0.8,6.78,7.096236224,3.789827968,79.766058
7,80,0.8,89.9,1,6.78,6.298434319,3.031217991,88.51665569
7,80,1,89.9,0.4,6.78,8.855108819,7.411031755,50.90082139
7,80,1,89.9,0.6,6.78,7.371102673,4.433849345,70.82084274
7,80,1,89.9,0.8,6.78,6.376122258,3.041561149,89.30373969
7,80,1,89.9,1,6.78,5.787427361,2.613991464,94.31721106
7,85,0.4,9.9,0.4,6.78,23.2365384,63.1497883,15.67505575
7,85,0.4,9.9,0.6,6.78,14.25808242,21.13626604,28.73706541
7,85,0.4,9.9,0.8,6.78,13.7444368,13.29111514,44.05295959
7,85,0.4,9.9,1,6.78,11.68862665,9.207176275,54.08123382
7,85,0.6,9.9,0.4,6.78,19.55840013,44.38522136,18.77173864
7,85,0.6,9.9,0.6,6.78,15.70204275,18.35636789,36.44005004
7,85,0.6,9.9,0.8,6.78,12.6189607,11.25187891,47.77581455
7,85,0.6,9.9,1,6.78,10.71895074,7.585155144,60.20012169
7,85,0.8,9.9,0.4,6.78,21.06535483,42.70478552,21.0136646
7,85,0.8,9.9,0.6,6.78,14.25775192,15.53706476,39.09233755
7,85,0.8,9.9,0.8,6.78,11.51151511,9.308948225,52.67947464
7,85,0.8,9.9,1,6.78,9.764153133,6.437557523,64.61346352
7,85,1,9.9,0.4,6.78,14.58606227,26.1078053,23.80001662
7,85,1,9.9,0.6,6.78,12.73229089,12.8350654,42.25888447
7,85,1,9.9,0.8,6.78,10.30873685,7.505294303,58.51231607
7,85,1,9.9,1,6.78,8.917732469,5.346427814,71.05592447
7,85,0.4,29.9,0.4,6.78,17.53067432,33.99644295,21.96720003
7,85,0.4,29.9,0.6,6.78,14.55035475,16.3565129,37.89591726
7,85,0.4,29.9,0.8,6.78,12.29483908,10.25891117,51.05416081
7,85,0.4,29.9,1,6.78,10.59071331,7.30306769,61.77737464
7,85,0.6,29.9,0.4,6.78,19.62131297,33.85913165,24.68663018
7,85,0.6,29.9,0.6,6.78,13.86046724,13.8074777,42.7634842
7,85,0.6,29.9,0.8,6.78,11.3461392,8.578871155,56.34138576
7,85,0.6,29.9,1,6.78,9.796955759,6.157637433,67.77766382
7,85,0.8,29.9,0.4,6.78,13.81148963,22.38475152,26.28438415
7,85,0.8,29.9,0.6,6.78,12.62438128,11.69878887,45.97045071
7,85,0.8,29.9,0.8,6.78,10.36231024,7.31582217,60.33968136
7,85,0.8,29.9,1,6.78,8.948470851,5.267798012,72.36511822
7,85,1,29.9,0.4,6.78,15.29874535,20.76603181,31.38425785
7,85,1,29.9,0.6,6.78,11.24910518,9.44446103,50.73998806
7,85,1,29.9,0.8,6.78,9.395486399,5.993340111,66.78207463
7,85,1,29.9,1,6.78,8.205337136,4.344915386,80.4497444
7,85,0.4,49.9,0.4,6.78,20.74844843,51.77837515,17.07052076
7,85,0.4,49.9,0.6,6.78,13.84389515,14.22515571,41.45823745
7,85,0.4,49.9,0.8,6.78,11.34521372,8.740496081,55.29503807
7,85,0.4,49.9,1,6.78,9.810131076,6.327686839,66.04491641
7,85,0.6,49.9,0.4,6.78,13.92275781,22.64024,26.19713537
7,85,0.6,49.9,0.6,6.78,12.42433723,11.24997739,47.04691423
7,85,0.6,49.9,0.8,6.78,10.43202544,7.233594912,61.4361533
7,85,0.6,49.9,1,6.78,9.051600671,5.180348593,74.43478926
7,85,0.8,49.9,0.4,6.78,15.2830043,20.05711469,32.46009897
7,85,0.8,49.9,0.6,6.78,11.36720785,9.345559251,51.81530611
7,85,0.8,49.9,0.8,6.78,9.51160267,6.146121534,65.92681858
7,85,0.8,49.9,1,6.78,8.264643128,4.405032546,79.92534986
7,85,1,49.9,0.4,6.78,13.64295406,16.19364448,35.8899934
7,85,1,49.9,0.6,6.78,10.23825679,7.754993231,56.24114546
7,85,1,49.9,0.8,6.78,8.647334535,5.039067999,73.10407797
